Time x_x x_y x_z v_x v_y 
0.000133333 1 -0.7 0.25 -0.000750997 0.00241159
0.000266667 1 -0.7 0.25 -0.00150179 0.00482254
0.0004 1 -0.699999 0.25 -0.00225239 0.00723284
0.000533333 0.999999 -0.699998 0.25 -0.00300278 0.00964251
0.000666667 0.999999 -0.699997 0.25 -0.00375298 0.0120515
0.0008 0.999998 -0.699995 0.25 -0.00450297 0.0144599
0.000933333 0.999998 -0.699993 0.25 -0.00525276 0.0168677
0.00106667 0.999997 -0.699991 0.25 -0.00600235 0.0192748
0.0012 0.999996 -0.699988 0.25 -0.00675174 0.0216814
0.00133333 0.999995 -0.699986 0.25 -0.00750093 0.0240872
0.00146667 0.999994 -0.699982 0.25 -0.00824991 0.0264925
0.0016 0.999993 -0.699979 0.25 -0.00899869 0.0288971
0.00173333 0.999992 -0.699975 0.25 -0.00974727 0.0313011
0.00186667 0.999991 -0.699971 0.25 -0.0104956 0.0337045
0.002 0.999989 -0.699966 0.25 -0.0112438 0.0361073
0.00213333 0.999988 -0.699961 0.25 -0.0119918 0.0385095
0.00226667 0.999986 -0.699956 0.25 -0.0127396 0.040911
0.0024 0.999985 -0.699951 0.25 -0.0134871 0.0433119
0.00253333 0.999983 -0.699945 0.25 -0.0142345 0.0457123
0.00266667 0.999981 -0.699939 0.25 -0.0149816 0.048112
0.0028 0.999979 -0.699933 0.25 -0.0157286 0.0505111
0.00293333 0.999977 -0.699926 0.25 -0.0164754 0.0529096
0.00306667 0.999975 -0.699919 0.25 -0.0172219 0.0553075
0.0032 0.999972 -0.699911 0.25 -0.0179682 0.0577048
0.00333333 0.99997 -0.699904 0.25 -0.0187144 0.0601014
0.00346667 0.999968 -0.699896 0.25 -0.0194603 0.0624975
0.0036 0.999965 -0.699887 0.25 -0.020206 0.064893
0.00373333 0.999962 -0.699879 0.25 -0.0209516 0.0672879
0.00386667 0.999959 -0.69987 0.25 -0.0216969 0.0696823
0.004 0.999957 -0.69986 0.25 -0.022442 0.072076
